comparison	id	log2_fc_mrn	DESeq2_adj_pval	SYMBOL
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000120937	2.94969753029335	1.57703250338596e-18	NPPB
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000073756	2.50317959184865	2.36809078697379e-12	PTGS2
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000169429	3.64385061062185	5.6854038290796104e-21	CXCL8
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000213757	1.18074561459943	1.8576360971733e-4	RPS3AP20
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000279691	2.00860937167693	0.0070447788965721	ENSG00000279691
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000120738	2.65739067995009	4.5441048704156e-4	EGR1
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000273802	1.93356426647977	1.46707035064964e-7	H2BC8
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000178381	1.21797900109501	9.14886404313916e-7	ZFAND2A
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000131174	1.122201136243	4.02478675787107e-5	COX7B
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000254165	3.66895412816836	4.6227920749775696e-18	ENSG00000254165
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000123975	1.4693484565436	5.72564986529969e-8	CKS2
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000175592	1.79621390653832	4.57942896023173e-8	FOSL1
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000109846	3.58354000615363	3.9675552480605894e-36	CRYAB
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000200879	4.91747085326205	6.464807419020349e-23	SNORD14E
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000122877	3.19420567340776	6.016556556696291e-15	EGR2
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000189319	-1.60093011127971	1.60856199152872e-8	FAM53B
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000241217	2.04269765874346	0.00343556850114226	RN7SL809P
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000227195	-2.23371780159934	1.7238841463744002e-10	MIR663AHG
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000227195	-2.23371780159934	1.7238841463744002e-10	LOC124904967
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000171858	1.28836251361577	2.55510311256263e-6	RPS21
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000125740	4.34000034962007	2.1918676099776798e-49	FOSB
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000225630	-0.427119108660401	0.234418532583103	MTND2P28
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000143847	0.244722281224172	0.613045568717921	PPFIA4
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000009790	0.725572624799364	0.285015037217314	TRAF3IP3
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000219159	0.695038800473202	0.163706881653047	ENSG00000219159
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000181359	0.181341120977315	0.670492603696981	HSP90AA6P
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000244921	0.00110425193063908	0.998695078947049	MTCYBP18
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000240449	-0.502855062194037	0.16002120561771	ENSG00000240449
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000247095	0.822548965694835	0.0155765611967845	MIR210HG
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000214026	0.963137521430292	0.0461409637752837	MRPL23
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000120694	0.442327725416089	0.209916097149513	HSPH1
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000080824	0.178757473275482	0.634017235544226	HSP90AA1
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000101098	-0.854392855537596	0.0293212166404215	RIMS4
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000124126	-0.471357545373327	0.297788484140421	PREX1
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000198763	-0.281530933781372	0.455390518613704	ND2
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000212907	0.835095708402184	0.343313464460783	ND4L
Hsapiens_Ca_bwp17_12h_VS_EC_only_12h	ENSG00000198727	0.0234962582172722	0.965344521706505	CYTB
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000120937	2.05695289171424	1.09939106456589e-7	NPPB
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000073756	1.68226851165436	1.43441128330771e-5	PTGS2
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000009790	2.33182441542716	2.83939369211748e-8	TRAF3IP3
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000169429	2.34380241145597	1.94712824135051e-8	CXCL8
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000279691	3.87467957655746	1.69301006931574e-13	ENSG00000279691
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000273802	2.46260198568098	9.93589101268531e-17	H2BC8
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000178381	1.34570349704693	4.16499890587675e-7	ZFAND2A
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000131174	1.00327699931429	4.2985665698137e-4	COX7B
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000254165	3.64453250344313	2.25240912387706e-16	ENSG00000254165
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000123975	1.32864252431185	1.17908536342836e-6	CKS2
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000109846	4.63365263036835	1.6548943416549998e-56	CRYAB
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000200879	7.00715050101742	1.10917333269223e-53	SNORD14E
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000122877	1.55498343039022	3.6662353904438e-4	EGR2
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000189319	-1.81652507486455	6.730986139271921e-15	FAM53B
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000171858	1.13264278654076	7.4836035473634e-5	RPS21
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000125740	1.85938296315307	8.33729935975806e-10	FOSB
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000219159	1.11111014097829	0.00917930024957577	ENSG00000219159
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000120738	1.03504025393315	0.0201811831495783	EGR1
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000241217	1.8605010075922	0.0180390887138096	RN7SL809P
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000227195	-1.17824639741136	0.0228656823625722	MIR663AHG
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000227195	-1.17824639741136	0.0228656823625722	LOC124904967
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000101098	-1.08395135405017	0.0103581981936224	RIMS4
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000225630	-0.543232309385135	0.111949073222369	MTND2P28
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000143847	0.184037840813167	0.7280561614616	PPFIA4
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000181359	0.0310331208949643	0.955644530980798	HSP90AA6P
