comparison	id	log2_fc_mrn	DESeq2_adj_pval	SYMBOL
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000213757	0.951392198696359	0.00155339406309289	RPS3AP20
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000244921	-0.23065956069686	0.675483592559049	MTCYBP18
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000240449	-0.781244645130617	0.0284496778336208	ENSG00000240449
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000247095	0.696112192938151	0.0304043591949565	MIR210HG
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000214026	0.357270379789055	0.657864678661186	MRPL23
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000175592	0.413559205008531	0.36185553192872	FOSL1
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000120694	0.282581466419968	0.491437997905251	HSPH1
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000080824	0.303206225472624	0.39680936036079	HSP90AA1
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000124126	-0.427145443866086	0.38620545807943	PREX1
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000198763	-0.438140194841729	0.208141064650653	ND2
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000212907	0.78719984476048	0.470922516356743	ND4L
Hsapiens_Ca_ece1_12h_VS_EC_only_12h	ENSG00000198727	-0.188930677883945	0.711559525880092	CYTB
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000225630	-1.52150961211047	4.16130361400082e-7	MTND2P28
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000219159	1.60289752545856	3.63486343356768e-5	ENSG00000219159
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000244921	-1.39548537746753	6.10275294376087e-5	MTCYBP18
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000273802	1.47390669306783	8.2487035600275e-6	H2BC8
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000254165	2.73149504718309	2.67256382566314e-6	ENSG00000254165
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000247095	1.48458935910682	5.0931315182108e-6	MIR210HG
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000109846	3.43207498661821	0.00363160825117131	CRYAB
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000200879	5.14322247371364	3.85215931995101e-5	SNORD14E
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000189319	-1.09791188114148	4.3612358240426e-5	FAM53B
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000198763	-1.36089750877523	2.73420140115224e-6	ND2
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000198727	-1.28098096863609	2.09008131729142e-5	CYTB
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000009790	1.48391690872083	0.00686200736268103	TRAF3IP3
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000279691	2.52127933196963	0.00252873467943671	ENSG00000279691
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000122877	1.39180910575821	0.00990869806628218	EGR2
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000125740	1.2909878175018	0.0140001558977576	FOSB
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000120937	1.10788917884942	0.0364441924927399	NPPB
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000169429	1.46290249355528	0.0312140146257388	CXCL8
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000073756	0.871690918661	0.436474505729326	PTGS2
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000143847	0.885930587620273	0.0591658589724734	PPFIA4
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000181359	-0.284023311984917	0.563516259422997	HSP90AA6P
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000213757	0.228580376457256	0.590280282892536	RPS3AP20
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000120738	0.967221173167505	0.426748774332322	EGR1
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000178381	0.576812294022327	0.19871597852505	ZFAND2A
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000240449	-0.0483101937677273	0.94253079618359	ENSG00000240449
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000131174	0.195512113973358	0.572523909745644	COX7B
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000123975	0.413841541288881	0.193795063298988	CKS2
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000214026	-0.21211276602301	0.813665448602444	MRPL23
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000175592	0.173746344418031	0.832061438484839	FOSL1
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000241217	1.08293898299057	0.273940772509261	RN7SL809P
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000120694	-0.172349304918927	0.739549716987651	HSPH1
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000080824	-0.202521711603859	0.674717374153597	HSP90AA1
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000227195	-0.0287565012276864	0.975840302465787	MIR663AHG
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000227195	-0.0287565012276864	0.975840302465787	LOC124904967
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000101098	0.0787688666101481	0.914431619008294	RIMS4
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000124126	0.163741991155315	0.796712969371539	PREX1
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000171858	0.384092826593237	0.292584769514743	RPS21
Hsapiens_Ca_efg1cph1_12h_VS_EC_only_12h	ENSG00000212907	-0.421898666979861	0.710758492235758	ND4L
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000120937	2.40475528267938	1.64313778956295e-11	NPPB
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000073756	2.04936553607623	8.39250888442835e-8	PTGS2
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000009790	2.56532576222524	1.18673576636128e-7	TRAF3IP3
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000169429	2.92967338503977	4.68698750292022e-15	CXCL8
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000213757	1.23666624467281	4.89799151941392e-8	RPS3AP20
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000279691	3.69765299607747	8.81392387416956e-12	ENSG00000279691
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000120738	1.83620723133245	6.79534241650403e-8	EGR1
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000273802	2.74709730729671	3.11139372030989e-15	H2BC8
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000178381	2.15260163040904	4.41555095707832e-12	ZFAND2A
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000240449	-1.16927276866374	7.3627586194387e-4	ENSG00000240449
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000131174	1.21217857350938	3.8664546091739e-8	COX7B
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000254165	4.21303610684801	4.9641984558124295e-25	ENSG00000254165
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000123975	1.45223310539363	9.4025633560356e-13	CKS2
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000175592	1.50673516955814	1.31320433500148e-6	FOSL1
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000109846	5.08836376198931	1.20484383318354e-44	CRYAB
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000200879	6.49474688526873	5.1657101086054e-17	SNORD14E
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000122877	2.85042128809238	9.39702218420348e-16	EGR2
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000189319	-2.25526402234778	7.039275843874979e-18	FAM53B
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000241217	2.89710478751569	2.5634445297405e-7	RN7SL809P
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000120694	1.03213122764006	2.3022623229517e-4	HSPH1
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000227195	-1.48659642605083	2.9278911138227e-4	MIR663AHG
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000227195	-1.48659642605083	2.9278911138227e-4	LOC124904967
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000101098	-1.1503095117267	0.00208620360077153	RIMS4
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000171858	1.38714612960322	5.51312498981735e-12	RPS21
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000125740	3.56018354227574	4.4769357437919996e-46	FOSB
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000225630	-0.409404319555063	0.339272057227775	MTND2P28
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000143847	-0.378864992461405	0.3693077085353	PPFIA4
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000219159	0.423771408844881	0.432598296469548	ENSG00000219159
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000181359	0.791497081088953	0.0244857868242729	HSP90AA6P
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000244921	0.0626089231489174	0.91850001484367	MTCYBP18
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000247095	0.183571928797337	0.661434738676221	MIR210HG
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000214026	0.914743616502376	0.058222863739447	MRPL23
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000080824	0.874937677465687	0.00509480482798117	HSP90AA1
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000124126	-0.877188030882079	0.0257755275846397	PREX1
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000198763	-0.341852253929221	0.414585028438496	ND2
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000212907	0.599712011573254	0.14711977617554	ND4L
Hsapiens_Ca_SC5314_12h_VS_EC_only_12h	ENSG00000198727	-0.0881369462481315	0.868862336667242	CYTB
