comparison	id	log2_fc_mrn	DESeq2_adj_pval	SYMBOL
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000244921	-1.46987659263935	1.6285052920664e-4	MTCYBP18
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000247095	1.28833850337161	4.3870515891508e-4	MIR210HG
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000120694	-1.21597328214485	0.00208380456389434	HSPH1
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000080824	-1.08915803383289	0.00723704223102844	HSP90AA1
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000171858	-1.0143050275288	0.00213245848292388	RPS21
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000212907	-1.03453546642538	0.00500034985762562	ND4L
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000225630	-1.12370529856794	0.0138774239338713	MTND2P28
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000178381	-1.58716516902676	0.002651701493815	ZFAND2A
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000122877	-1.46890134131838	0.00213245848292388	EGR2
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000189319	1.14517713420681	0.00372380798828273	FAM53B
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000241217	-1.8170697539781	0.0137054031799414	RN7SL809P
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000120937	-1.3063147851714	0.00960182645326632	NPPB
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000073756	-1.18662748460004	0.0436035161977627	PTGS2
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000143847	1.25129524904606	0.0160880154301402	PPFIA4
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000219159	1.16517912410954	0.0447755777794608	ENSG00000219159
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000169429	-1.47452231633507	0.0224389677665581	CXCL8
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000181359	-1.08676888069703	0.0339248488817258	HSP90AA6P
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000213757	-1.01883439621087	0.00120645448230056	RPS3AP20
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000273802	-1.28461282253846	0.0183870799206583	H2BC8
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000240449	1.10894219957905	0.0270509541792075	ENSG00000240449
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000254165	-1.48692980627054	0.0110023669003319	ENSG00000254165
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000214026	-1.13729657680681	0.0427258605802909	MRPL23
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000175592	-1.34511966092979	0.0417752193222723	FOSL1
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000227195	1.44342476020394	0.0138774239338713	MIR663AHG
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000227195	1.44342476020394	0.0138774239338713	LOC124904967
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000101098	1.21924504186501	0.013770805948195	RIMS4
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000124126	1.02757921873539	0.0469386173532076	PREX1
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000198763	-1.03078781113788	0.0227409012108723	ND2
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000009790	-1.0897053182014	0.220265051930828	TRAF3IP3
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000279691	-1.1815331744338	0.296438676494503	ENSG00000279691
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000120738	-0.878547395562625	0.246991951802827	EGR1
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000109846	-1.66401982845677	0.476827362868318	CRYAB
Hsapiens_Ca_efg1cph1_12h_VS_Ca_SC5314_12h	ENSG00000200879	-1.35525405311269	0.637013573765854	SNORD14E
