ORF	Gene_name	comparison	log2_fc_mrn	DESeq2_adj_pval
C4_06980W	PRA1	Calbicans_air_CC_12_VS_air_Ca_12	-3.17433452044088	1.72803252010271e-13
C4_06980W	PRA1	Calbicans_air_CC_24_VS_air_Ca_24	-4.76910059411447	5.293994335839469e-30
C4_06980W	PRA1	Calbicans_air_CC_3_VS_air_Ca_3	-1.59709499526736	0.15801632668573
C4_06980W	PRA1	Calbicans_air_CC_45_VS_air_Ca_45	1.21637620319669	0.999508884040253
C4_06980W	PRA1	Calbicans_air_CC_6_VS_air_Ca_6	-0.995861779550677	0.281597993783285
C4_06970C	ZRT101	Calbicans_air_CC_12_VS_air_Ca_12	-3.05278344941702	7.83036831409069e-18
C4_06970C	ZRT101	Calbicans_air_CC_24_VS_air_Ca_24	-4.17311362648687	1.80412019285111e-27
C4_06970C	ZRT101	Calbicans_air_CC_3_VS_air_Ca_3	-1.5293018462899	0.115058310003062
C4_06970C	ZRT101	Calbicans_air_CC_45_VS_air_Ca_45	0.742728071119742	0.999508884040253
C4_06970C	ZRT101	Calbicans_air_CC_6_VS_air_Ca_6	-0.8213765369403	0.334792926621423
C2_02590W	ZRT2	Calbicans_air_CC_12_VS_air_Ca_12	-1.55509215384527	1.16571843375177e-6
C2_02590W	ZRT2	Calbicans_air_CC_24_VS_air_Ca_24	-3.41650400772097	9.975641581490799e-31
C2_02590W	ZRT2	Calbicans_air_CC_3_VS_air_Ca_3	-0.994129115096213	0.0824564910799081
C2_02590W	ZRT2	Calbicans_air_CC_45_VS_air_Ca_45	0.289068839618968	0.999508884040253
C2_02590W	ZRT2	Calbicans_air_CC_6_VS_air_Ca_6	-0.900689853072108	0.0048533563020893
C2_02180W	ZRT3	Calbicans_air_CC_12_VS_air_Ca_12	-1.00200563388596	0.0227609427837904
C2_02180W	ZRT3	Calbicans_air_CC_24_VS_air_Ca_24	-3.12977769219579	2.2790316651479395e-43
C2_02180W	ZRT3	Calbicans_air_CC_3_VS_air_Ca_3	-0.323407542421955	0.502008908795329
C2_02180W	ZRT3	Calbicans_air_CC_45_VS_air_Ca_45	0.430391937566239	0.999508884040253
C2_02180W	ZRT3	Calbicans_air_CC_6_VS_air_Ca_6	-0.870512779730596	0.0983228309743376
C2_02200W	ZRC1	Calbicans_air_CC_12_VS_air_Ca_12	-1.17876816853265	0.00125809346656632
C2_02200W	ZRC1	Calbicans_air_CC_24_VS_air_Ca_24	-0.0955162768351766	0.750763164965326
C2_02200W	ZRC1	Calbicans_air_CC_3_VS_air_Ca_3	0.295046191048788	0.608378153725506
C2_02200W	ZRC1	Calbicans_air_CC_45_VS_air_Ca_45	-0.422184502627683	0.972783129317255
C2_02200W	ZRC1	Calbicans_air_CC_6_VS_air_Ca_6	-0.0865933887896263	0.915289222737543
C4_04850C	ZAP1	Calbicans_air_CC_12_VS_air_Ca_12	-0.84761555278424	0.00491083396020866
C4_04850C	ZAP1	Calbicans_air_CC_24_VS_air_Ca_24	-2.12493952513685	6.4780731435148105e-24
C4_04850C	ZAP1	Calbicans_air_CC_3_VS_air_Ca_3	-0.172565728224833	0.718667416044088
C4_04850C	ZAP1	Calbicans_air_CC_45_VS_air_Ca_45	1.11140060136154	0.121281681589004
C4_04850C	ZAP1	Calbicans_air_CC_6_VS_air_Ca_6	-0.345506923731695	0.523607596304356
